text,zone_id,parameter,direction,intensity,source
it's blasting air everywhere in here,UNSPECIFIED,airflow,decrease,strong,template_train
it's unbearably hot again in here,UNSPECIFIED,temperature,decrease,strong,template_train
"please fix the dining room, it's colder than I'd like",zone_common,temperature,increase,moderate,template_train
it is too cold in the dining area,zone_common,temperature,increase,moderate,template_train
now it's quite hot,UNSPECIFIED,temperature,decrease,moderate,template_train
the lobby is swampy,zone_common,humidity,decrease,strong,template_train
it is way too dry in the bath,zone_bathroom,humidity,increase,strong,template_train
the guest room is slightly stale,zone_bedroom,airflow,increase,mild,template_train
it's been not enough air moving in the bed room all day,zone_bedroom,airflow,increase,moderate,template_train
we're sitting in the master bedroom and it's sweltering,zone_bedroom,temperature,decrease,strong,template_train
it is a little clammy in the sitting room,zone_living,humidity,decrease,mild,template_train
we're sitting in the bedroom and it's swampy,zone_bedroom,humidity,decrease,strong,template_train
now it's slightly dry,UNSPECIFIED,humidity,increase,mild,template_train
it is freezing in the kitchen,zone_kitchen,temperature,increase,strong,template_train
it's blasting air everywhere again in here,UNSPECIFIED,airflow,decrease,strong,template_train
completely airless in the work room again,zone_office,airflow,increase,strong,template_train
it's slightly dry,UNSPECIFIED,humidity,increase,mild,template_train
"please fix teh bathroom, it's slightly breezy",zone_bathroom,airflow,decrease,mild,template_train
"can you do something about the bedroom, it's suffocating",zone_bedroom,airflow,increase,strong,template_train
way more than that,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,strong,template_train
it's too hot in here,UNSPECIFIED,temperature,decrease,moderate,template_train
it's dripping with humidity,UNSPECIFIED,humidity,decrease,strong,template_train
the study is a little clammy,zone_office,humidity,decrease,mild,template_train
it's freezing in here,UNSPECIFIED,temperature,increase,strong,template_train
it's swampy,UNSPECIFIED,humidity,decrease,strong,template_train
"can you do something about the kitchen, it's slightly warm",zone_kitchen,temperature,decrease,mild,template_train
the master bedroom is slightly dry,zone_bedroom,humidity,increase,mild,template_train
it is too stuffy in the kitchen,zone_kitchen,airflow,increase,moderate,template_train
